id_empleado,edad,genero,nivel_educativo,departamento,cumplimiento_kpi,puntaje_productividad,colaboracion_equipo,puntaje_iniciativa,satisfaccion_laboral,balance_trabajo_vida,horas_capacitacion,puntaje_feedback_lider,promocion_ultimos_2_anos,categoria_desempeno
E0001,50,Femenino,Licenciatura,Finanzas,50.13853025107626,84.86859422345667,Alto,77.92853015097555,7.987470014179329,Alto,22.18083576157916,1.1187622834957898,0,Medio
E0002,36,Femenino,Licenciatura,TI,92.08279227850859,67.1303618929059,Alto,93.0444350203174,7.025172416148464,Medio,17.028768940538676,4.204243555786247,1,Bajo
E0003,29,Masculino,Secundaria,TI,88.92378894102504,74.99816009379931,Medio,60.70707418592246,10.017143948288306,Alto,45.05110721654318,2.0009577034486092,0,Bajo
E0004,42,Femenino,Doctorado,Ventas,90.96024073720804,55.93937925557483,Medio,93.43620317294938,7.936753974060343,Medio,18.0247690949223,2.4093387868884064,0,Alto
E0005,40,Femenino,Maestría,Ventas,100.27926187917843,49.92169003227453,Medio,31.190849203072574,6.027686846658274,Alto,26.831651749434638,1.3076583228594556,0,Medio
E0006,44,Masculino,Licenciatura,Marketing,60.09931546659011,74.98448795142824,Bajo,52.89098542949159,9.024565313681567,Medio,25.001706097177607,1.680294668330377,0,Bajo
E0007,32,Femenino,Secundaria,Finanzas,88.11169306347821,72.12229141898177,Alto,94.76609943516067,3.0088060280621436,Medio,8.825289371768251,4.083051311168117,0,Bajo
E0008,32,Femenino,Secundaria,Ventas,92.05082624866951,74.82733908589228,Medio,66.72763863510265,10.02903640157068,Medio,45.86737045045821,3.011665177813585,0,Alto
E0009,45,Femenino,Licenciatura,Ventas,79.94785260815276,94.0347563857113,Bajo,59.84892034266667,10.02136337943023,Medio,3.10403692543121,4.505986481257054,0,Alto
E0010,57,Femenino,Maestría,Finanzas,65.99163915728691,55.0260322074567,Bajo,55.25473561476607,8.947787159713258,Alto,1.1518324145186642,2.6043309806434998,0,Medio
E0011,45,Femenino,Secundaria,Marketing,82.32700571293248,55.11188935770292,Medio,57.8827589972211,3.958826634959994,Bajo,2.1883374169718466,2.0895103220723534,0,Alto
E0012,24,Femenino,Licenciatura,Ventas,81.1725742704272,93.11441503835823,Medio,96.06781104159295,6.943806216080017,Bajo,5.869258803259667,2.3935438202638335,0,Alto
E0013,43,Masculino,Maestría,Marketing,77.89251895159187,56.94771040132297,Medio,54.06470992821529,8.971063601527373,Alto,15.062893467988248,3.8720582794600933,1,Bajo
E0014,23,Masculino,Secundaria,Recursos Humanos,70.00023708473084,73.20749063687404,Medio,77.14505587697286,1.958544511054045,Medio,30.07497828109803,3.2118216818447056,0,Bajo
E0015,45,Masculino,Licenciatura,Marketing,70.05647503920234,70.98133003412451,Medio,94.1162528841863,2.039119541189735,Medio,8.781563275582712,4.591765373777014,0,Bajo
E0016,51,Femenino,Secundaria,TI,88.76359098569142,68.19936310865388,Medio,82.13890660070818,8.965615556139975,Medio,18.00169382162791,3.416215759470403,1,Alto
E0017,59,Masculino,Doctorado,TI,72.21665515701004,85.89681742376057,Bajo,95.99524944910857,2.994050063080708,Bajo,26.969760549856638,2.9952806863694104,0,Alto
E0018,23,Femenino,Licenciatura,Marketing,54.66299156608358,66.95420860351776,Bajo,47.0069827239544,8.974962992692072,Alto,15.858370270321782,4.105142363073431,0,Medio
E0019,42,Femenino,Secundaria,TI,70.88208731746433,79.95839182889802,Medio,37.95657037165286,5.009015082193565,Medio,26.51622334867123,4.799709830241163,0,Bajo
E0020,54,Femenino,Licenciatura,Recursos Humanos,98.86526271740064,85.93505265727747,Medio,66.97129515810094,6.00800222761487,Medio,17.718528489127774,2.41607038002602,0,Medio
E0021,33,Otro,Licenciatura,Finanzas,87.05825133184983,79.40851312313877,Bajo,50.51527009033831,2.003598616128956,Medio,36.11966623462375,1.9982880224802062,0,Alto
E0022,43,Femenino,Maestría,TI,85.92969503976279,90.94328169518923,Medio,94.0556120864223,8.00545366870901,Alto,22.166260644629087,3.508040705328114,1,Alto
E0023,46,Femenino,Maestría,TI,94.05360731577841,82.01315841655934,Bajo,49.942180181500795,8.984708023549588,Bajo,19.038498179678832,2.9883943845603738,0,Bajo
E0024,48,Masculino,Licenciatura,Marketing,100.24915458470339,58.98951718009975,Medio,55.93403021964106,1.983134058059962,Alto,12.169055563410272,5.024133183466439,0,Medio
E0025,49,Femenino,Secundaria,Recursos Humanos,57.038924361265394,85.96697299263931,Medio,99.30921382659824,6.030372250389653,Medio,12.139296517946882,2.815492128747855,0,Bajo
E0026,37,Masculino,Secundaria,Finanzas,90.14744420203947,60.98953675042101,Medio,72.88575330685468,6.011346326074687,Medio,42.02869638065968,1.3043125119311727,1,Alto
E0027,36,Masculino,Secundaria,Marketing,97.99249025419114,79.00208991574185,Alto,57.40876353615317,8.027132158885612,Alto,10.041866264536003,4.886535205808193,0,Medio
E0028,24,Femenino,Licenciatura,Marketing,83.97924663181442,76.02640447568628,Bajo,73.64399617639023,10.011695623204094,Medio,46.933209382022056,4.3889846447678,1,Bajo
E0029,58,Femenino,Maestría,Recursos Humanos,99.91179118384558,87.76586776454528,Alto,46.39067284037907,4.992447896836108,Medio,14.235119357639691,1.6957988932841594,0,Alto
E0030,28,Masculino,Licenciatura,Finanzas,59.94063812512834,57.99268877212513,Medio,69.2112617746169,9.006261631546781,Medio,16.00818013783599,4.5813055274418915,0,Bajo
E0031,42,Femenino,Secundaria,Recursos Humanos,72.95493757519823,70.08725347006755,Medio,31.915491390117015,0.9869796223660144,Medio,49.01461832393389,2.4021340577601267,0,Alto
E0032,30,Femenino,Licenciatura,Finanzas,97.87356188680873,61.06306747493488,Medio,95.2214846606151,8.971360837198546,Medio,27.04529569257219,2.502457172115708,0,Bajo
E0033,39,Femenino,Maestría,Recursos Humanos,70.05989012046699,78.0381420318474,Medio,74.95014888295265,10.017574420963745,Alto,18.126305813602745,4.609499998913762,0,Medio
